,disp_id,account_id,disposition_type,account_frequency,account_creation,account_district code ,account_district region,account_district no. of inhabitants,account_district no. of municipalities with inhabitants < 499 ,account_district no. of municipalities with inhabitants 500-1999,account_district no. of municipalities with inhabitants 2000-9999 ,account_district no. of municipalities with inhabitants >10000 ,account_district no. of cities ,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,birthday,client_district code ,client_district region,client_district no. of inhabitants,client_district no. of municipalities with inhabitants < 499 ,client_district no. of municipalities with inhabitants 500-1999,client_district no. of municipalities with inhabitants 2000-9999 ,client_district no. of municipalities with inhabitants >10000 ,client_district no. of cities ,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '95 ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '95 ,client_district no. of commited crimes '96 
4475,4734,3926,OWNER,monthly issuance,940911,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,73,False,250321,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
4477,4736,3927,OWNER,monthly issuance,931022,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,55,True,430528,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
4478,4737,3928,OWNER,monthly issuance,960508,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,17,True,810601,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
4479,4739,3930,OWNER,monthly issuance,950425,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,38,True,600308,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
4480,4740,3931,OWNER,monthly issuance,960205,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,21,False,770612,28,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
4481,4741,3932,OWNER,monthly issuance,960725,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,69,True,290729,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4482,4742,3933,OWNER,monthly issuance,960211,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,49,True,490413,61,south Moravia,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059
4484,4744,3934,OWNER,monthly issuance,971223,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,69,False,291218,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120
4485,4745,3935,OWNER,monthly issuance,930308,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,50,True,480804,68,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
4486,4746,3936,OWNER,monthly issuance,950504,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,57,True,410720,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
4487,4747,3937,OWNER,monthly issuance,960110,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,76,True,220427,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
4489,4749,3938,OWNER,monthly issuance,931117,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,50,True,480119,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
4490,4750,3939,OWNER,monthly issuance,930708,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,36,False,620404,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
4491,4751,3940,OWNER,weekly issuance,950507,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,25,False,730108,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
4492,4752,3941,OWNER,monthly issuance,961226,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,59,False,391009,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
4494,4754,3942,OWNER,weekly issuance,960510,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,59,True,391228,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
4495,4755,3943,OWNER,monthly issuance,960306,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,44,True,540905,71,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
4496,4756,3944,OWNER,monthly issuance,951008,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,48,True,500108,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
4498,4758,3945,OWNER,monthly issuance,951107,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,25,True,730109,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
4500,4760,3946,OWNER,monthly issuance,960716,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,63,False,350327,70,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
4502,4762,3947,OWNER,monthly issuance,960123,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,27,True,710213,76,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
4503,4763,3948,OWNER,monthly issuance,931109,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,54,True,440223,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
4504,4764,3949,OWNER,monthly issuance,960111,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,19,False,791015,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4505,4765,3950,OWNER,monthly issuance,970901,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,63,False,350306,48,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
4506,4766,3951,OWNER,monthly issuance,970602,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,31,False,670527,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
4507,4767,3952,OWNER,monthly issuance,960308,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,80,True,180921,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
4508,4768,3953,OWNER,monthly issuance,970616,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,38,True,600403,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4509,4769,3954,OWNER,monthly issuance,930625,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,75,True,230123,22,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117
4511,4771,3955,OWNER,monthly issuance,930714,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,37,True,610107,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
4512,4772,3956,OWNER,monthly issuance,961028,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,48,True,500129,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120
4513,4773,3957,OWNER,weekly issuance,960613,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,46,True,520613,33,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859
4514,4774,3958,OWNER,monthly issuance,971228,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,47,False,510814,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
4516,4776,3959,OWNER,weekly issuance,970215,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,24,False,741222,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4517,4777,3960,OWNER,monthly issuance,930206,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,69,True,290623,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
4519,4779,3961,OWNER,monthly issuance,970124,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,20,False,780210,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
4520,4780,3962,OWNER,monthly issuance,961213,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,26,True,720201,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4521,4781,3963,OWNER,monthly issuance,971027,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,32,True,660815,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
4522,4782,3964,OWNER,monthly issuance,970125,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,32,False,661228,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
4523,4783,3965,OWNER,monthly issuance,930504,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,20,True,781016,31,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452
4524,4784,3966,OWNER,monthly issuance,960109,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,78,True,201208,42,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
4526,4786,3967,OWNER,monthly issuance,960922,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,60,False,380816,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4527,4787,3968,OWNER,monthly issuance,960101,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,36,False,620312,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
4528,4788,3969,OWNER,monthly issuance,930620,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,18,True,800427,39,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
4529,4789,3970,OWNER,monthly issuance,951128,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,58,True,400926,24,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
4530,4790,3971,OWNER,monthly issuance,970313,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,52,False,460209,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
4531,4791,3972,OWNER,monthly issuance,931011,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,62,False,360215,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
4532,4792,3973,OWNER,monthly issuance,951127,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,41,True,570525,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
4533,4793,3974,OWNER,monthly issuance,960308,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,52,True,460215,55,south Moravia,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
4534,4794,3975,OWNER,monthly issuance,941002,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,53,True,451116,20,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
4535,4795,3976,OWNER,monthly issuance,960415,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,73,True,250918,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4536,4796,3977,OWNER,monthly issuance,930925,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,70,False,280311,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
4537,4797,3978,OWNER,monthly issuance,950218,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,58,True,400903,59,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
4538,4798,3979,OWNER,monthly issuance,960214,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,36,True,620102,37,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166
4539,4799,3980,OWNER,monthly issuance,930403,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,52,True,460320,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
4541,4801,3981,OWNER,monthly issuance,950115,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,20,False,781125,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
4542,4802,3982,OWNER,monthly issuance,930727,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,27,False,710706,75,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505
4543,4803,3983,OWNER,monthly issuance,930204,67,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,53,False,450807,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
4544,4804,3984,OWNER,monthly issuance,961214,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,68,True,300207,51,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839
4545,4805,3985,OWNER,monthly issuance,970713,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,63,True,350313,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4546,4806,3986,OWNER,monthly issuance,970620,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,54,True,440201,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
4547,4807,3987,OWNER,monthly issuance,970914,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,50,False,481228,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
4548,4808,3988,OWNER,monthly issuance,970504,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,17,True,811124,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
4549,4809,3989,OWNER,monthly issuance,950311,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,68,False,301101,19,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
4551,4811,3990,OWNER,monthly issuance,970204,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,27,True,710326,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
4552,4812,3991,OWNER,monthly issuance,961228,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,73,False,250626,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4553,4813,3992,OWNER,monthly issuance,971216,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,30,False,681025,43,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
4554,4814,3993,OWNER,monthly issuance,960124,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,36,False,620228,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4555,4815,3994,OWNER,monthly issuance,960314,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,28,False,700917,15,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
4557,4817,3995,OWNER,monthly issuance,950827,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,29,False,690904,12,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
4558,4818,3996,OWNER,monthly issuance,970622,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,66,False,320313,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4559,4819,3997,OWNER,monthly issuance,940113,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,34,False,640413,62,south Moravia,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906
4560,4820,3998,OWNER,monthly issuance,960420,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,29,True,690919,2,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
4561,4821,3999,OWNER,monthly issuance,930506,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,59,True,390608,35,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
4563,4823,4000,OWNER,monthly issuance,930802,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,16,False,820416,7,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
4564,4824,4001,OWNER,monthly issuance,950204,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,58,False,400305,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4565,4826,4003,OWNER,monthly issuance,970822,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,21,True,771227,25,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218
4566,4831,4008,OWNER,monthly issuance,960323,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,40,False,580814,27,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127
4567,4832,4009,OWNER,monthly issuance,940220,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,41,True,570109,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
4568,4833,4010,OWNER,monthly issuance,960819,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,27,True,710228,30,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
4569,4836,4013,OWNER,issuance after transaction,931008,73,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,46,False,521231,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
4570,4837,4014,OWNER,issuance after transaction,950515,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,31,True,670313,56,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
4571,4853,4026,OWNER,monthly issuance,970206,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,59,False,390301,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
4572,4861,4033,OWNER,monthly issuance,961119,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,21,True,771101,57,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651
4573,4862,4034,OWNER,monthly issuance,930118,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,55,True,431123,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4574,4863,4035,OWNER,monthly issuance,930725,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,24,True,740302,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4575,4877,4047,OWNER,weekly issuance,950929,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,41,False,570219,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
4576,4882,4052,OWNER,weekly issuance,970125,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,20,False,781221,36,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
4577,4886,4055,OWNER,monthly issuance,930124,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,19,False,791209,23,west Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198
4578,4892,4059,OWNER,monthly issuance,931008,34,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,29,False,690308,26,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261
4579,4901,4066,OWNER,monthly issuance,940524,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,48,True,500508,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
4580,4904,4069,OWNER,monthly issuance,961117,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,37,True,610419,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
4581,4906,4071,OWNER,monthly issuance,960803,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,22,True,761019,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
4583,4915,4078,OWNER,monthly issuance,930130,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,35,False,630719,40,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872
4584,4916,4079,OWNER,monthly issuance,931103,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,59,False,390109,52,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799
4585,4918,4081,OWNER,monthly issuance,950722,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,30,False,680506,11,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
4586,4919,4082,OWNER,monthly issuance,941108,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,47,True,510526,49,east Bohemia,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123
4587,4923,4086,OWNER,monthly issuance,960717,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,36,False,620702,66,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103
4588,4925,4088,OWNER,monthly issuance,960301,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,47,False,510618,45,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
4589,4927,4090,OWNER,monthly issuance,961011,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,43,True,550316,72,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208
4590,4928,4091,OWNER,monthly issuance,970804,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,22,False,760209,9,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487
4591,4929,4092,OWNER,monthly issuance,960313,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,55,False,430730,74,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
4592,4930,4093,OWNER,monthly issuance,930325,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,17,False,810730,1,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
4593,4937,4099,OWNER,monthly issuance,960526,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,38,True,601109,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4594,4941,4102,OWNER,monthly issuance,961113,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,19,True,790225,60,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
4595,4942,4103,OWNER,monthly issuance,950125,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,39,False,590705,38,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822
4596,4944,4105,OWNER,monthly issuance,950508,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,16,False,820407,58,south Moravia,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471
4597,4949,4109,OWNER,monthly issuance,950209,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,16,False,821020,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4598,4956,4116,OWNER,monthly issuance,971005,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,52,False,461010,6,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120
4599,4959,4119,OWNER,monthly issuance,931018,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,19,False,790425,77,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
4600,4961,4121,OWNER,monthly issuance,950608,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,16,False,820731,54,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696
4601,4968,4127,OWNER,monthly issuance,960503,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,60,False,380526,50,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
4602,4969,4128,OWNER,monthly issuance,970926,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,30,True,680720,64,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265
